region_code,region_name,city_code,city_name,street_code,street_name,street_name_status,official_code
31,חיפה,4000,חיפה,9590,יוסף בוסל,synonym of 126,126
31,חיפה,4000,חיפה,9591,בוסל,synonym of 126,126
31,חיפה,4000,חיפה,127,הארזים,official,127
31,חיפה,4000,חיפה,9592,רחנ ק חיים,synonym of 127,127
31,חיפה,4000,חיפה,9593,רח נ ק חיים,synonym of 127,127
31,חיפה,4000,חיפה,9594,ארזים,synonym of 127,127
31,חיפה,4000,חיפה,9595,רח נ,synonym of 127,127
31,חיפה,4000,חיפה,128,לוי יוסף,official,128
31,חיפה,4000,חיפה,9596,שכ קרוונים,synonym of 128,128
31,חיפה,4000,חיפה,9597,קרוונים,synonym of 128,128
31,חיפה,4000,חיפה,9598,שכ קראוונים,synonym of 128,128
31,חיפה,4000,חיפה,9599,ש קרוונים,synonym of 128,128
31,חיפה,4000,חיפה,9600,שכ הקרוונים,synonym of 128,128
31,חיפה,4000,חיפה,9601,יוסף לוי,synonym of 128,128
31,חיפה,4000,חיפה,129,שד ורבורג,official,129
31,חיפה,4000,חיפה,9602,פנת ורבורג,synonym of 129,129
31,חיפה,4000,חיפה,9603,ורבורג,synonym of 129,129
31,חיפה,4000,חיפה,9604,ורבורג שד,synonym of 129,129
31,חיפה,4000,חיפה,9605,שדרות ורבורג,synonym of 129,129
31,חיפה,4000,חיפה,9606,שד וורבורג,synonym of 129,129
31,חיפה,4000,חיפה,9607,שדרות וורבורג,synonym of 129,129
31,חיפה,4000,חיפה,9608,וורבורג שדרות,synonym of 129,129
31,חיפה,4000,חיפה,9609,וורבורג שד,synonym of 129,129
31,חיפה,4000,חיפה,9610,ורבורג שדרות,synonym of 129,129
31,חיפה,4000,חיפה,130,נתיב ההדס,official,130
31,חיפה,4000,חיפה,9611,ההדס,synonym of 130,130
31,חיפה,4000,חיפה,131,החבצלת,official,131
31,חיפה,4000,חיפה,9612,רח מ,synonym of 131,131
31,חיפה,4000,חיפה,9613,רח מ ק חיים,synonym of 131,131
31,חיפה,4000,חיפה,9614,חבצלת,synonym of 131,131
31,חיפה,4000,חיפה,132,אנה פרנק,official,132
31,חיפה,4000,חיפה,9615,רח לט,synonym of 132,132
31,חיפה,4000,חיפה,9616,רח לט ק חיים,synonym of 132,132
31,חיפה,4000,חיפה,9617,פרנק אנה,synonym of 132,132
31,חיפה,4000,חיפה,133,רח לח,official,133
31,חיפה,4000,חיפה,9618,רח לח ק חיים,synonym of 133,133
31,חיפה,4000,חיפה,134,אביר מרק,official,134
31,חיפה,4000,חיפה,9619,רח לז ק חיים,synonym of 134,134
31,חיפה,4000,חיפה,9620,ק חיים רח לז,synonym of 134,134
31,חיפה,4000,חיפה,9621,רח לז,synonym of 134,134
31,חיפה,4000,חיפה,9622,אביר,synonym of 134,134
31,חיפה,4000,חיפה,9623,מרק אביר,synonym of 134,134
31,חיפה,4000,חיפה,135,רח לו,official,135
31,חיפה,4000,חיפה,9624,ק חיים רח ל,synonym of 135,135
31,חיפה,4000,חיפה,9625,רח לב ק חיי,synonym of 135,135
31,חיפה,4000,חיפה,9626,רח לה,synonym of 135,135
31,חיפה,4000,חיפה,9627,רח לו ק חיים,synonym of 135,135
31,חיפה,4000,חיפה,9628,ק חיים רח לו,synonym of 135,135
31,חיפה,4000,חיפה,136,נתיב הלולב,official,136
31,חיפה,4000,חיפה,9629,הלולב,synonym of 136,136
31,חיפה,4000,חיפה,137,רח מא,official,137
31,חיפה,4000,חיפה,9630,רח מא ק חיים,synonym of 137,137
31,חיפה,4000,חיפה,138,האמונה,official,138
31,חיפה,4000,חיפה,9631,שביל האמונה,synonym of 138,138
31,חיפה,4000,חיפה,139,"תרי""ג",official,139
31,חיפה,4000,חיפה,9632,תריג,synonym of 139,139
31,חיפה,4000,חיפה,9633,תרג,synonym of 139,139
31,חיפה,4000,חיפה,140,ריינס הרב,official,140
31,חיפה,4000,חיפה,9634,חרלפ,synonym of 140,140
31,חיפה,4000,חיפה,9635,ריינס,synonym of 140,140
31,חיפה,4000,חיפה,9636,הרב ריינס,synonym of 140,140
31,חיפה,4000,חיפה,141,"שד הרא""ה",official,141
31,חיפה,4000,חיפה,9637,הראה ישיב ע,synonym of 141,141
31,חיפה,4000,חיפה,9638,הרואה,synonym of 141,141
31,חיפה,4000,חיפה,9639,שד הראה,synonym of 141,141
31,חיפה,4000,חיפה,9640,הראה שד,synonym of 141,141
31,חיפה,4000,חיפה,9641,הראה,synonym of 141,141
31,חיפה,4000,חיפה,9642,שדרות הראה,synonym of 141,141
31,חיפה,4000,חיפה,9643,הראה שדרות,synonym of 141,141
31,חיפה,4000,חיפה,142,יוסיפון,official,142
31,חיפה,4000,חיפה,143,מאלי יעקב משה,official,143
31,חיפה,4000,חיפה,9644,רח 2570,synonym of 143,143
31,חיפה,4000,חיפה,9645,מאלי,synonym of 143,143
31,חיפה,4000,חיפה,9646,יעקב מאלי,synonym of 143,143
31,חיפה,4000,חיפה,9647,מאלי יעקב,synonym of 143,143
31,חיפה,4000,חיפה,144,המסורת,official,144
31,חיפה,4000,חיפה,145,מיכואלס שלמה,official,145
31,חיפה,4000,חיפה,9648,רח 1122,synonym of 145,145
31,חיפה,4000,חיפה,9649,מיכואלס,synonym of 145,145
31,חיפה,4000,חיפה,9650,שלמה מיכואלס,synonym of 145,145
31,חיפה,4000,חיפה,146,תורה ועבודה,official,146
31,חיפה,4000,חיפה,147,האמוראים,official,147
31,חיפה,4000,חיפה,9651,אמוראים,synonym of 147,147
31,חיפה,4000,חיפה,9652,האמורים,synonym of 147,147
31,חיפה,4000,חיפה,9653,נתיב האמוראים,synonym of 147,147
31,חיפה,4000,חיפה,148,מוהליבר,official,148
31,חיפה,4000,חיפה,9654,מוהיליבר,synonym of 148,148
31,חיפה,4000,חיפה,149,הגאונים,official,149
31,חיפה,4000,חיפה,150,הפוסקים,official,150
31,חיפה,4000,חיפה,151,האמהות,official,151
31,חיפה,4000,חיפה,9655,נתיב האמהות,synonym of 151,151
31,חיפה,4000,חיפה,152,האבות,official,152
31,חיפה,4000,חיפה,153,התנאים,official,153
31,חיפה,4000,חיפה,154,"הנצי""ב",official,154
31,חיפה,4000,חיפה,9656,הנציב שדרות,synonym of 154,154
31,חיפה,4000,חיפה,9657,שד הנציב,synonym of 154,154
31,חיפה,4000,חיפה,9658,שדרות הנציב,synonym of 154,154
31,חיפה,4000,חיפה,9659,הנציב,synonym of 154,154
31,חיפה,4000,חיפה,9660,הנציב שד,synonym of 154,154
31,חיפה,4000,חיפה,155,בר אילן,official,155
31,חיפה,4000,חיפה,156,נתיב העולים,official,156
31,חיפה,4000,חיפה,9661,רח 1123,synonym of 156,156
31,חיפה,4000,חיפה,157,הפלוגות,official,157
31,חיפה,4000,חיפה,9662,זרובבל יעקב,synonym of 157,157
31,חיפה,4000,חיפה,9663,רח כט ק חיים,synonym of 157,157
31,חיפה,4000,חיפה,9664,רח כח ק חיים,synonym of 157,157
31,חיפה,4000,חיפה,9665,פלוגות,synonym of 157,157
31,חיפה,4000,חיפה,9666,יעקב זרובבל,synonym of 157,157
31,חיפה,4000,חיפה,158,המפוח,official,158
31,חיפה,4000,חיפה,9667,רח 2470,synonym of 158,158
31,חיפה,4000,חיפה,159,אידלסון בבה,official,159
31,חיפה,4000,חיפה,9668,בבה אידלסון,synonym of 159,159
31,חיפה,4000,חיפה,9669,אידלסון,synonym of 159,159
31,חיפה,4000,חיפה,160,הגדוד העברי,official,160
31,חיפה,4000,חיפה,9670,רח ג ק חיים,synonym of 160,160
31,חיפה,4000,חיפה,9671,רח ג,synonym of 160,160
31,חיפה,4000,חיפה,161,הנוטר,official,161
31,חיפה,4000,חיפה,9672,רח ד ק חיים,synonym of 161,161
31,חיפה,4000,חיפה,9673,רח ד,synonym of 161,161
31,חיפה,4000,חיפה,162,שרת משה,official,162
31,חיפה,4000,חיפה,9674,ק חיים רח ה,synonym of 162,162
31,חיפה,4000,חיפה,9675,שרת,synonym of 162,162
